Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,22uF,
C3,0402,1,0.1uF,
"C4, C5",0402,2,1uF,
C6,0402,1,100nF,
C7,CP_EIA-3528-15_AVX-H_Pad1.50x2.35mm_HandSolder,1,100uF 6.3V,
"D1, D3",0603,2,LED,
D2,D_SOD-323,1,1N5819WS,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
"J3, J4",PinSocket_1x20_P2.54mm_Vertical,2,Conn_01x20_Socket,
J5,SUNTECH_ST-TF-003A,1,Micro_SD_Card,
J6,Hirose_FH12-14S-0.5SH_1x14-1MP_P0.50mm_Horizontal,1,5034801400,
"LCD RST, SW2, SW3",SW_SPST_PTS810,3,SW_Push,
"Q1, Q2",SOT-23,2,BC817,
R1,0402,1,1.5k,
"R10, R12, R4, R5",0402,4,10K,
"R11, R13, R15, R9",0402,4,470,
"R2, R3, R8",0402,3,5.1k,
R6,0402,1,1K,
R7,0402,1,7.5R,
U1,ESP32-WROOM-32D,1,ESP32-WROOM-32D,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,TQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,CH343P,
